date,line,total_input_lbs,hours_used,hours_available,util_pct,throughput_cap_lbs,throughput_util_pct
2026-04-17,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-17,VBS-DSI884,24000.0,1.73,8.0,21.6,24000.0,100.0
2026-04-17,VBS-DSI888,72000.0,7.62,8.0,95.2,72000.0,100.0
2026-04-18,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-18,VBS-DSI884,24000.0,1.73,8.0,21.6,24000.0,100.0
2026-04-18,VBS-DSI888,72000.0,7.6,8.0,95.0,72000.0,100.0
2026-04-20,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-20,VBS-DSI884,24000.0,2.28,8.0,28.5,24000.0,100.0
2026-04-20,VBS-DSI888,72000.0,7.07,8.0,88.4,72000.0,100.0
2026-04-21,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-21,VBS-DSI884,24000.0,3.27,8.0,40.9,24000.0,100.0
2026-04-21,VBS-DSI888,72000.0,6.06,8.0,75.7,72000.0,100.0
2026-04-22,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-22,VBS-DSI884,24000.0,1.73,8.0,21.6,24000.0,100.0
2026-04-22,VBS-DSI888,72000.0,7.62,8.0,95.2,72000.0,100.0
2026-04-23,VBS-DB20,186349.18,1.14,8.0,14.3,536000.0,34.8
2026-04-23,VBS-DSI884,24000.0,1.75,8.0,21.8,24000.0,100.0
2026-04-23,VBS-DSI888,72000.0,7.62,8.0,95.2,72000.0,100.0
2026-04-24,VBS-DB20,186349.18,1.14,8.0,14.3,536000.0,34.8
2026-04-24,VBS-DSI884,24000.0,1.74,8.0,21.7,24000.0,100.0
2026-04-24,VBS-DSI888,72000.0,7.63,8.0,95.3,72000.0,100.0
2026-04-25,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-25,VBS-DSI884,24000.0,3.63,8.0,45.4,24000.0,100.0
2026-04-25,VBS-DSI888,72000.0,5.72,8.0,71.4,72000.0,100.0
2026-04-27,VBS-DB20,186349.18,1.14,8.0,14.3,536000.0,34.8
2026-04-27,VBS-DSI884,24000.0,2.65,8.0,33.2,24000.0,100.0
2026-04-27,VBS-DSI888,72000.0,6.71,8.0,83.9,72000.0,100.0
2026-04-28,VBS-DB20,186349.18,1.15,8.0,14.3,536000.0,34.8
2026-04-28,VBS-DSI884,24000.0,3.22,8.0,40.2,24000.0,100.0
2026-04-28,VBS-DSI888,72000.0,6.13,8.0,76.7,72000.0,100.0
2026-04-29,VBS-DB20,186349.18,1.14,8.0,14.3,536000.0,34.8
2026-04-29,VBS-DSI884,24000.0,1.75,8.0,21.9,24000.0,100.0
2026-04-29,VBS-DSI888,72000.0,7.62,8.0,95.2,72000.0,100.0
2026-04-30,VBS-DB20,186349.18,1.14,8.0,14.3,536000.0,34.8
2026-04-30,VBS-DSI884,24000.0,1.75,8.0,21.8,24000.0,100.0
2026-04-30,VBS-DSI888,72000.0,7.62,8.0,95.2,72000.0,100.0
