date,line,cuts
2026-04-17,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (36929 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (6964 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs), 69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-17,VBS-DSI884,69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a (24000 lbs)
2026-04-17,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (41532 lbs)"
2026-04-18,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (648 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (48496 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-18,VBS-DSI884,69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a (24000 lbs)
2026-04-18,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a (36282 lbs), 69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-20,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (49143 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-20,VBS-DSI884,"69d674a4740f44669238e14d:69d5258326e89ce8aed89b36 (6964 lbs), 69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a (11786 lbs), 69d6750d740f4466923909f5:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-20,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (23504 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (48496 lbs)"
2026-04-21,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (48496 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (7934 lbs), 69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-21,VBS-DSI884,"69d674a4740f44669238e14d:69d5258326e89ce8aed89b36 (19398 lbs), 69d6750d740f4466923909f5:69d525d526e89ce8aed89b3d (4602 lbs)"
2026-04-21,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (11071 lbs), 69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a (60929 lbs)"
2026-04-22,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (36929 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (6964 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs), 69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-22,VBS-DSI884,69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a (24000 lbs)
2026-04-22,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (41532 lbs)"
2026-04-23,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (60929 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (12214 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (4631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-23,VBS-DSI884,69d6750d740f4466923909f5:69d525ca26e89ce8aed89b3c (24000 lbs)
2026-04-23,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (36282 lbs), 69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-24,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (60929 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (750 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs)"
2026-04-24,VBS-DSI884,69d6750d740f4466923909f5:69d525bd26e89ce8aed89b3b (24000 lbs)
2026-04-24,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (23746 lbs), 69d6750d740f4466923909f4:69d525d526e89ce8aed89b3d (12536 lbs), 69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-25,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (43893 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (28631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs), 69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-25,VBS-DSI884,69d674a4740f44669238e14d:69d5258326e89ce8aed89b36 (24000 lbs)
2026-04-25,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (6468 lbs), 69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a (17036 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (48496 lbs)"
2026-04-27,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (36565 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (48496 lbs), 69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-27,VBS-DSI884,"69d674a4740f44669238e14d:69d5258326e89ce8aed89b36 (11464 lbs), 69d6750d740f4466923909f5:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-27,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (19004 lbs), 69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a (24365 lbs), 69d6750d740f4466923909f4:69d525ca26e89ce8aed89b3c (28631 lbs)"
2026-04-28,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (29278 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (48496 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-28,VBS-DSI884,"69d674a4740f44669238e14d:69d5258326e89ce8aed89b36 (18750 lbs), 69d6750d740f4466923909f5:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-28,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (11718 lbs), 69d6750d740f4466923909f4:69d525b326e89ce8aed89b3a (31651 lbs), 69d6750d740f4466923909f4:69d525ca26e89ce8aed89b3c (28631 lbs)"
2026-04-29,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (60929 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (6964 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (17167 lbs), 69d6750d740f4466923909ca:69d525df26e89ce8aed89b3e (5250 lbs)"
2026-04-29,VBS-DSI884,"69d6750d740f4466923909f5:69d525ca26e89ce8aed89b3c (11464 lbs), 69d6750d740f4466923909f5:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-29,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (41532 lbs)"
2026-04-30,VBS-DB20,"69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37 (39255 lbs), 69d6750d740f4466923909ca:69d5259726e89ce8aed89b38 (56784 lbs), 69d6750d740f4466923909ca:69d525b326e89ce8aed89b3a (60929 lbs), 69d6750d740f4466923909ca:69d525bd26e89ce8aed89b3b (12214 lbs), 69d6750d740f4466923909ca:69d525ca26e89ce8aed89b3c (4631 lbs), 69d6750d740f4466923909ca:69d525d526e89ce8aed89b3d (12536 lbs)"
2026-04-30,VBS-DSI884,69d6750d740f4466923909f5:69d525ca26e89ce8aed89b3c (24000 lbs)
2026-04-30,VBS-DSI888,"69d674a4740f44669238e14c:69d5258326e89ce8aed89b36 (30468 lbs), 69d6750d740f4466923909f4:69d525bd26e89ce8aed89b3b (36282 lbs), 69d6750d740f4466923909f4:69d525df26e89ce8aed89b3e (5250 lbs)"
