decision,bucket,line,date,assigned_lbs
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-17,30468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-18,30468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-20,23504.18
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-21,11070.6
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-22,30468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-23,30468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-24,30468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-25,6468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-27,19004.25
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-28,11718.207
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-29,30468.11
69d674a4740f44669238e14c:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI888,2026-04-30,30468.11
69d674a4740f44669238e14d:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI884,2026-04-20,6963.93
69d674a4740f44669238e14d:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI884,2026-04-21,19397.51
69d674a4740f44669238e14d:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI884,2026-04-25,24000.0
69d674a4740f44669238e14d:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI884,2026-04-27,11463.86
69d674a4740f44669238e14d:69d5258326e89ce8aed89b36,69d5258326e89ce8aed89b36,VBS-DSI884,2026-04-28,18749.903
69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37,69d5258f26e89ce8aed89b37,VBS-DB20,2026-04-17,39254.81
69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37,69d5258f26e89ce8aed89b37,VBS-DB20,2026-04-18,39254.81
69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37,69d5258f26e89ce8aed89b37,VBS-DB20,2026-04-20,39254.81
69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37,69d5258f26e89ce8aed89b37,VBS-DB20,2026-04-21,39254.81
69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37,69d5258f26e89ce8aed89b37,VBS-DB20,2026-04-22,39254.81
69d6750d740f4466923909ca:69d5258f26e89ce8aed89b37,69d5258f26e89ce8aed89b37,VBS-DB20,2026-04-23,39254.81
